CodigoProveedor;Nombre ;Descripcion Larga;Descripcion Larga;Familia;Clase ;Costo ;Precio Lista
BC44BBC44B;Horno Continental Elect 44L ;Horno Continental Eletrico De Mesa Grill 44 Litros Blanco ;Horno Continental Eletrico De Mesa Grill 44 Litros Blanco ;15;15002;895000;1253000
CC6VXCC6VX;Campana Continental 60Cm Inox;Campana Continental De Pared 60Cm Inox Con Vidro;Campana Continental De Pared 60Cm Inox Con Vidro;15;15005;1561000;2186000
CC9VXCC9VX;Campana Continental 90Cm Inox ;Campana Continental De Pared 90Cm Inox Con Vidro;Campana Continental De Pared 90Cm Inox Con Vidro;15;15005;1925000;2695000
DC80BDC80B;Extractor Continental 80Cm ;Depurador/extractor De Aire Continental Slim 80Cm Blanco ;Depurador/extractor De Aire Continental Slim 80Cm Blanco ;15;15005;682000;955000
FC4CBFC4CB;Cocina A Gas Continental 4H;Cocina A Gas Continental 4H 50Cm-Blanco ;Cocina A Gas Continental 4H 50Cm-Blanco ;15;15006;1497000;2096000
FC4CSFC4CS;Cocina A Gas Continental 4H Gr;Cocina A Gas Continental 4H 50Cm-Silver;Cocina A Gas Continental 4H 50Cm-Silver;15;15006;1545000;2163000
FC4VPFC4VP;Cocina A Gas Continental 4H Ng;Cocina A Gas Continental 4H Mesa Vidrio 50Cm-Negro;Cocina A Gas Continental 4H Mesa Vidrio 50Cm-Negro;15;15006;1878000;2630000
FC5CBFC5CB;Cocina A Gas Continental 5H;Cocina A Gas Continental 5H 76Cm-Blanco;Cocina A Gas Continental 5H 76Cm-Blanco;15;15006;1965000;2751000
FC5CSFC5CS;Cocina A Gas Continental 5H Gr;Cocina A Gas Continental 5H 76Cm-Silver;Cocina A Gas Continental 5H 76Cm-Silver;15;15006;2083000;2917000
FC5VPFC5VP;Cocina A Gas Continental 5H Ng;Cocina A Gas Continental 5H  Mesa Vidrio 76Cm-Negro;Cocina A Gas Continental 5H  Mesa Vidrio 76Cm-Negro;15;15006;2384000;3338000
KC4GPKC4GP;Anafe A Gas Continental 4H;Anafe A Gas Continental 4 Quemadores ;Anafe A Gas Continental 4 Quemadores ;15;15006;927000;1298000
KC5GPKC5GP;Anafe A Gas Continental 5H;Anafe A Gas Continental 5 Quemadores;Anafe A Gas Continental 5 Quemadores;15;15006;1038000;1454000
MC34BMC34B;Microondas Continental 30L;Microondas Continental Blanco 30 Litros Con Funcion Descongelar;Microondas Continental Blanco 30 Litros Con Funcion Descongelar;15;15003;856000;1199000
MC34SMC34S;Microonda Continental Plat 30L;Microondas Continental Plata 30 Litros Con Funcion Descongelar;Microondas Continental Plata 30 Litros Con Funcion Descongelar;15;15003;888000;1244000
OC8EPOC8EP;Horno Continental Empot 75L;Horno Continental Electrico De Embutir 75 Litros Con Grill Y Timer;Horno Continental Electrico De Embutir 75 Litros Con Grill Y Timer;15;15002;2606000;3649000
OC8GPOC8GP;Horno Continental Gas Empt 73L;Horno Continental A Gas De Embutir 73 Litros Con Grill Y Timer;Horno Continental A Gas De Embutir 73 Litros Con Grill Y Timer;15;15002;3121000;4370000
TC41TC41;Heladera Continental 2P 370L;Heladera Continental 2P 370L Frio Seco-Blanco;Heladera Continental 2P 370L Frio Seco-Blanco;5;5001;3438000;4814000
TC41STC41S;Heladera Continental 2P 370L;Heladera Continental 2P 370L Frio Seco-Platinum;Heladera Continental 2P 370L Frio Seco-Platinum;5;5001;3786000;5301000
TC567909569345924TC56;Heladera Continental 2P 470L;Heladera Continental 2P 470L Frio Seco-Blanco;Heladera Continental 2P 470L Frio Seco-Blanco;5;5001;4158000;5822000
TC56S7909569345740;Heladera Continental 2P 470L;Heladera Continental 2P 470L Frio Seco-Platinum;Heladera Continental 2P 470L Frio Seco-Platinum;5;5001;4507000;6310000
SMA013M;Celular Galaxy A01 Core Duos;Celular Galaxy A01 Core Duos 16Gb;Celular Galaxy A01 Core Duos 16Gb;7;7001;674000;944000
SMA015MDS;Celular Galaxy A01 2020 Duos;Celular Galaxy A01 2020 Duos 32Gb Blue;Celular Galaxy A01 2020 Duos 32Gb Blue;7;7001;888000;1244000
SMA022B32gb;Celular Galaxy A02 2021 Duos;Celular Galaxy A02 2021 Duos 32Gb;Celular Galaxy A02 2021 Duos 32Gb;7;7001;872000;1221000
SMA125M;Celular Galaxy A12 Duos 64Gb;Celular Galaxy A12 Duos 64Gb;Celular Galaxy A12 Duos 64Gb;7;7001;1379000;1931000
SMA217A128gb;Celular Galaxy A21S Duos 128Gb;Celular Galaxy A21S Duos 128Gb;Celular Galaxy A21S Duos 128Gb;7;7001;1782000;2495000
SMA315G;Celular Galaxy A31 Duos 128Gb;Celular Galaxy A31 Duos 128Gb;Celular Galaxy A31 Duos 128Gb;7;7001;1941000;2718000
SMA515F;Celular Galaxy A51 Duos 128Gb;Celular Galaxy A51 Duos 128Gb;Celular Galaxy A51 Duos 128Gb;7;7001;2258000;3162000
SMF700F;Celular Galaxy Z Flip 256Gb;Celular Galaxy Z Flip 256Gb;Celular Galaxy Z Flip 256Gb;7;7001;7532000;10545000
SMF916BB;Celular Galaxy Z Fold2 256Gb;Celular Galaxy Z Fold2 256Gb;Celular Galaxy Z Fold2 256Gb;7;7001;16474000;23064000
SMG780256B;Celular Galaxy S20 Fe 256Gb;Celular Galaxy S20 Fe 256Gb;Celular Galaxy S20 Fe 256Gb;7;7001;5148000;7208000
SMG991BG;Celular Galaxy S21 Duos 256Gb;Celular Galaxy S21 Duos 256Gb;Celular Galaxy S21 Duos 256Gb;7;7001;6851000;9592000
SMG996BB;Celular Galaxy S21 + Duos;Celular Galaxy S21  Duos 256Gb;Celular Galaxy S21  Duos 256Gb;7;7001;7627000;10678000
SMG998BBP;Celular Galaxy S21 Ultr Duos ;Celular Galaxy S21 Ultra Duos 256Gb;Celular Galaxy S21 Ultra Duos 256Gb;7;7001;9449000;13229000
SMG998BB512;Celular Galaxy S21 Ultr Duos;Celular Galaxy S21 Ultra Duos 512Gb;Celular Galaxy S21 Ultra Duos 512Gb;7;7001;10510000;14714000
SMM315FB;Celular Galaxy M31 Duos 128Gb;Celular Galaxy M31 Duos 128Gb;Celular Galaxy M31 Duos 128Gb;7;7001;2083000;2917000
SMN980FA;Celular Galaxy Note 20 256Gb;Celular Galaxy Note 20 256Gb;Celular Galaxy Note 20 256Gb;7;7001;6954000;9736000
SMN985FB;Celular Galaxy Note 20 Ultra;Celular Galaxy Note 20 Ultra 256Gb;Celular Galaxy Note 20 Ultra 256Gb;7;7001;8800000;12320000
RS62R5011M9ZS;Heladera Samsung Side 647L;Heladera Samsung Side By Side Con Tec Spacemax 647 Lts Inox;Heladera Samsung Side By Side Con Tec Spacemax 647 Lts Inox;5;5001;8039000;11255000
RS65R5411;Heladera Samsung Side 617L;Heladera Samsung Side By Side Con Tec Spacemax 617 Lts C/Disp Inox;Heladera Samsung Side By Side Con Tec Spacemax 617 Lts C/Disp Inox;5;5001;10447000;14626000
RT32K5030SL;Heladera Freezer Sup 321L ;Heladera Freezer Superior Twin Cooling Plus 321 L Clean Steel;Heladera Freezer Superior Twin Cooling Plus 321 L Clean Steel;5;5001;4056000;5679000
RT35K5730SL;Heladera Samsung 375L;Heladera Samsung 375 Lts Twin Cooling C/ Disp. Inox ;Heladera Samsung 375 Lts Twin Cooling C/ Disp. Inox ;5;5001;4578000;6410000
RT38K5992SLZS;Heladera Samsung 394 Dig;Heladera Samsung 394 Litros Twin Cooling Plus Dig Inverter C/ Disp;Heladera Samsung 394 Litros Twin Cooling Plus Dig Inverter C/ Disp;5;5001;5521000;7730000
RT43K6231SLZS;Heladera Samsung 430 Lts Inox ;Heladera Samsung 430 Lts Twin Cooling Plus Inox ;Heladera Samsung 430 Lts Twin Cooling Plus Inox ;5;5001;5267000;7374000
RT46K6631BS;Heladera Clasico Black 452L;Heladera Clasico Black Edition C/Twin Cooling Plus No Frost 452Lts C/Disp;Heladera Clasico Black Edition C/Twin Cooling Plus No Frost 452Lts C/Disp;5;5001;5845000;8183000
RT53K6541SLEY;Heladera Samsung 534 Lts;Heladera Samsung 534 Lts Twin Cooling Plus Tm C/ Disp.Silver;Heladera Samsung 534 Lts Twin Cooling Plus Tm C/ Disp.Silver;5;5001;7073000;9903000
WA12J5712LWZS;Lavarropas Samsung 12Kg ;Lavarropas Samsung 12Kg C. Superior Activ Dualwash Blanco;Lavarropas Samsung 12Kg C. Superior Activ Dualwash Blanco;13;13001;2709000;3793000
WA19N6780CVZS; Lavadora Activ Dualwash 19 Kg; Lavadora Carga Superior Con Activ DualwasH  19 Kg, Black Stainless; Lavadora Carga Superior Con Activ DualwasH  19 Kg, Black Stainless;13;13001;4792000;6709000
WA80H4200SWZS;Lavarropas Samsung 8 Kg Bl;Lavarropas Samsung 8 Kg C. Superior Blanco;Lavarropas Samsung 8 Kg C. Superior Blanco;13;13001;1870000;2618000
WD12N64FR2XEY;Lavadora/Secadora Air Wash;Lavadora/Secadora Q-Rator Air WasH  Eco Bubble 12.5 Kg Seca 7Kg;Lavadora/Secadora Q-Rator Air WasH  Eco Bubble 12.5 Kg Seca 7Kg;13;13001;5940000;8316000
WD22N8750KVZS;Lavasecarropa Samsung 22K;Lavasecarropa Samsung Addwash De 22 Kilos C/ Toma-Black Caviar;Lavasecarropa Samsung Addwash De 22 Kilos C/ Toma-Black Caviar;13;13001;8879000;12431000
WW60J3287LWGG;Lavarropas Samsung 6K;Lavarropas Samsung Carga Frontal 6 Kg;Lavarropas Samsung Carga Frontal 6 Kg;13;13001;2384000;3338000
WW85J4273JWBO;Lavarropa Samsung 8.5K;Lavarropa Samsung Carga Frontal 8.5Kg -Blanco;Lavarropa Samsung Carga Frontal 8.5Kg -Blanco;13;13001;2662000;3727000
AR18NSPXBWKZS;Split Wind-Free 18K;Aire Acondicionado Split Wind-Free 18K Btu C/Kit ;Aire Acondicionado Split Wind-Free 18K Btu C/Kit ;25;25004;4840000;6776000
AR24MSFPEWQNEU;Split Inverter 24K;Aire Acondicionado Split Inverter 24 K Btuc/Kit;Aire Acondicionado Split Inverter 24 K Btuc/Kit;25;25004;5521000;7730000
AR24NSPXCWKZS;Split Wind 24K;Aire Acondicionado Split Wind-Free 24 K Btu C/Kit;Aire Acondicionado Split Wind-Free 24 K Btu C/Kit;25;25004;5758000;8062000
SMT290NB;Galaxy Tab A 8 32Gb Wifi;Galaxy Tab A 8 32Gb Wifi;Galaxy Tab A 8 32Gb Wifi;23;23006;1046000;1465000
SMT295NB;Galaxy Tab A 8 32Gb Lte;Galaxy Tab A 8 32Gb Lte;Galaxy Tab A 8 32Gb Lte;23;23006;1347000;1886000
SMT830;Galaxy Tab S4 10.5;Galaxy Tab S4  10.5  pulgadas Wifi 64Gb;Galaxy Tab S4  10.5  pulgadas Wifi 64Gb;23;23006;5647000;7906000
SMT870N;Galaxy Tab S7 2020 ;Galaxy Tab S7 2020 11pulgadas Wifi 128Gb;Galaxy Tab S7 2020 11pulgadas Wifi 128Gb;23;23006;6273000;8783000
SMT970NA;Galaxy Tab S7  2020 - 12.4;Galaxy Tab S7  2020 12.4 pulgadas Wifi 128Gb;Galaxy Tab S7  2020 12.4 pulgadas Wifi 128Gb;23;23006;7319000;10247000