cod;nombre;nombre largo;detalle;familia ;clase ;costo;lista 
13;AIRE PORTATIL CONSUMER 12000BT;AIRE  PORTATIL CONSUMER 12000BTU;12000 Btu.4 En 1  . (Frio, Calor, Ventilador., Deshumificador).Panel De Control Led. . Control Remoto Full. . Ruedas Para Facil Manejo. . Super Sinlecioso.;23;23003;1950000;2730000
165;ASPIRADORA CONSUMER PARA AUTO;ASPIRADORA CONSUMER PARA AUTO;Potente Motor De 150W. . Sin Bolsa. . Facil Operacion. . Tanque De 0.5 Litros. . incluye 6 Accesorios. . Aspiradora Con Cable (Conexion A Traves De La Entrada De Encendedor Del Vehiculo);35;35001;250000;350000
166;ASPIRADORA CONSUMER CICLON;ASPIRADORA CONSUMER CICLON A BATERIA;Potencia: 150W . Sistema: Ciclon . Voltaje: Ac220-240 V 50 60 Hz. . De Facil Operacion . Operatividad Sin Cable: 40 Mins;35;35001;680000;952000
167;ASPIRADORA CONSUMER 30L;ASPIRADORA DE 30 LITROS CONSUMER;Potencia 1400W. . Capacidad 30 Litros. . Aspira Polvo Y Agua. . Funcion Expulsa Aire. . Tambor De Acero inoxidable.;35;35001;680000;952000
168;ASPIRADORA CONSUMER 50L;ASPIRADORA DE 50 LITROS CONSUMER;Potencia: 1600 W. . Capacidad: 50 Lts. . Aspira Agua Y Polvo . Material: Tambor De Acero inoxidable;35;35001;970000;1358000
206;ASPIRADORA CONSUMER ROBOCLEAN;ASPIRADORA CONSUMER ROBOCLEAN;Aspira Y Repasa. . Ruta inteligente De Un Toque.  . Deteccion De Obstaculos infrarrojo.  . Ultrafino, Solo 7 Cm. De Altura.  . Configurable Por App.;35;35001;680000;952000
21;AURICULAR CONSUMER BT90 NEGRO;AURICULAR CONSUMER BT 90 INALAMBRICO NEGRO;Sonido Envolvente Super Bass. .  . Alcance 10 Mts. .  . Microfono Manos Libres Para Llamadas. .  . Radio Fm. .  . Bateria Recargable. .  . 5 Horas De Reproduccion. . Conector Y Cable 3.5Mm. . Dise¤o Retractil. . Colores: Negro. . Entradas: Auxiliar, Micro Sd, Puerto Usb;23;23002;180000;252000
22;AURICULAR CONSUMER BT90 ROJO;AURICULAR CONSUMER BT 90 INALAMBRICO ROJO;Sonido Envolvente Super Bass. . Alcance 10 Mts. . Microfono Manos Libres Para Llamadas. . Radio Fm. . Bateria Recargable. . 5 Horas De Reproduccion. . Conector Y Cable 3.5Mm. . Dise¤o Retractil. . Colores: Rojo. . Entradas: Auxiliar, Micro Sd, Puerto Usb.;23;23002;180000;252000
169;BALANZA CONSUMER SIN TORRE;BALANZA CONSUMER SIN TORRE;Calcula El Peso Y El Precio. . Capacidad 30 Kg . Precision: 5G. Peso Y Precio De 5 Digitos. . Acumulacion De Cantidades. . 3 Pantallas Led: Precio, Precio Total. . Bateria Recargable. . Teclado impermeable. . Bandeja De Acero inoxidable. . Proteccion De Sobrepeso. . Voltaje: 220V 50Hz.;36;36001;260000;364000
170;BALANZA CONSUMER DIGITAL 30KG;BALANZA CONSUMER DIGITAL 30 KG LCD C TORRE;Precisio?N: 5G. . Peso Y Precio De 5 Digitos. . Brazo De Acero Con Doble Display Lcd. . Acumulacio?N De Cantidades. 3 . Pantallas Led: Precio, Precio Total. Bateri?A Recargable. . Teclado impermeable. . Bandeja De Acero inoxidable. . Proteccio?N De Sobrepeso. . Voltaje: 220V 50Hz.;36;36001;280000;392000
171;BALANZA CONSUMER PLATAFORMA ;BALANZA CONSUMER DE ALTO RANGO PLATAFORMA ;Precision: 100 Gramos. . 3 Pantallas Led: Peso, Precio, Precio Total. . Brazo Del Visor De 80Cm. De Alto. . Plataforma De Acero De 60 X 45Cm. . Bateria Recargable. . Funcion Automatica De Puesta A Cero. . Funcion Automatica De Ahorro. . 3 Pantallas Led: Peso, Precio, Precio Total De Energia. . Bateria Recargable. . Funcion Suma De Productos Teclado impermeable. . Alarma De Sobrepeso. . Bandeja De Acero inoxidable.;36;36001;750000;1050000
172;BALANZA CONSUMER DIGITAL 150KG;BALANZA CONSUMER DIGITAL DE BA¥O 150KG;Capacidad Maxima 150Kg.  . Plataforma De Vidrio Templado. . 4 Sensores Sensibles Sobre Base De Acero. . Medicion En Kilogramos Y Libras. . Display Lcd De 4 Digitos. . Apagado Automatico;28;28001;100000;140000
111;CAJA DE SEGURIDAD CONSUMER;CAJA DE SEGURIDAD BLINDADA CONSUMER DE PISO 43X37X71CM;Multiples Sistemas De Seguridad, Electronico, Llaves Y Mecanico. . Boveda interna Con Combinacion independiente. . Bisagras Ocultas Para Mayor Seguridad. . ingreso Con Codigo De 3 A 8 Digitos. . Estantes internos Regulables. . Dise¤o Elegante;35;35018;2200000;3080000
112;CAJA DE ARMAS CONSUMER;CAJA DE ARMAS CONSUMER;Uso Domiciliar O Empresas De Seguridad, Estancias, Etc.  . Almacena 5 Rifles.  . Caja interior Con Llaves.  . Fabricada En Acero inox.  . Medida: 145 X 35 X 34 Cm;35;35018;2300000;3220000
113;CAJA DE DINERO CONSUMER CASH;CAJA DE DINERO CONSUMER CASH BOX.;Caja Para Dinero Fabricada En Acero. . Cerradura Con Seguro Y 2 Llaves incluidas. . Bandeja Removible Que Permite Tener Mayor Capacidad De Almacenaje. . Equipada Con Una Comoda Asa De Transporte. . Medidas: 25 X 18 X 9 Cm;35;35018;150000;210000
114;CAJA DE SEGURIDAD CONSUMER ;CAJA DE SEGURIDAD CONSUMER GRANDE DIGITAL CON LCD;Caja De Seguridad Digital Grande Con Lcd!! . ideal Para Empresas, Cooperativas, Bancos, Etc. . Moderno Sistema De Codificacion De Panel Electronico Y Llave;35;35018;850000;1190000
115;CAJA SFT 20 CONSUMER;CAJA SFT 20 CONSUMER;Pantalla Lcd Azul De Facil Lectura.  . Codigos Programables 3 A 8 Digitos.  . Funcion De Desbloqueo Manual (Cerradura Oculta).  . indicador Sonoro Y Luminoso De Funciones.  . Utiliza 4 Pilas Aa.  . Material: Totalmente Acero.  . Preparada Para Fijar Al Suelo O Pared.  . Medidas: 20X31X20Cm;35;35018;500000;700000
116;CAJA SFT 35 CONSUMER;CAJA SFT 35 CONSUMER;Moderno Sistema De Codificacio?N De Panel Electro?Nico. . ideal Para Guardar La Laptop. . Opera Con 4 Pilas Aa.;35;35018;750000;1050000
117;CAJA DE DINERO CASH CONSUMER;CAJA DE DINERO CASH DRAWER CONSUMER 11X41.5X41.5CM;Marca: Consumer . Codigo: Cr.9 . Dimensiones Del Paquete: 11.00Cm X 41.50Cm X 41.50Cm;35;35018;550000;770000
118;CAJA CHICO KS27 CONSUMER;CAJA PARA LLAVE CHICO KS 27 CONSUMER;Caja Fuerte De Seguridad Para Llaves . Caja Fuerte Digital . Espacio Para 27 Piezas . Codigos Programables 3 A 8 Digitos. . Funcion De Desbloqueo Manual (Cerradura Oculta). . indicador Sonoro Y Luminoso De Funciones. . Utiliza 4 Pilas Aa. . Material: Totalmente Acero.;35;35018;650000;910000
119;CAJA PARA LLAVE CONSUMER KS71;CAJA PARA LLAVE GRANDE KS 71 CONSUMER;Caja Fuerte Digital . Espacio Para 71 Piezas . Codigos Programables 3 A 8 Digitos. . Funcion De Desbloqueo Manual (Cerradura Oculta). . indicador Sonoro Y Luminoso De Funciones. . Utiliza 4 Pilas Aa. . Material: Totalmente Acero.;35;35018;750000;1050000
65;CARGADOR PORTATIL CONSUMER BL;CARGADOR DE BATERIA PORTATIL CONSUMER 12000MAH BLANCO;Marca:Consumer . Codigo:Cr.138B . Peso Del Paquete:0.18Kg . Dimensiones Del Paquete:6.20Cm X 2.50Cm X 9.10Cm;23;23003;100000;140000
66;CARGADOR PORTATIL CONSUMER NGR;CARGADOR DE BATERIA PORTATIL NEGRO CONSUMER;Marca:Consumer . Codigo:Cr.138N . Peso Del Paquete:0.18Kg . Dimensiones Del Paquete:9.10Cm X 6.20Cm X 2.50Cm;23;23003;100000;140000
145;LOMITERA A GAS CONSUMER 5Q ;LOMITERA A GAS 5 QUEMADORES CONSUMER;Placa Adecuado Para Alta Produccion.  . Control independiente De Quemadores.  . Cajon Para Residuos, Pies De Goma Con 35 Mm De Altura.  . area De Coccion 1,20 Mts.  . Quemadores De Aluminio De 7 8?;36;36001;2700000;3780000
146;LOMITERA A GAS CONSUMER 4Q;LOMITERA A GAS CONSUMER 4 QUEMADORES;Placa Para Alta Produccion.  . Control independiente De Quemadores.  . Cajon Para Residuos, Pies De Goma Con 35 Mm. De Altura. area De Coccion 1 Mt.  . Quemadores De Aluminio De 7 8?;36;36001;2100000;2940000
133;ANAFES CONSUMER 5HNEGRO ;ANAFES CONSUMER 5H NEGRO;Encendido Electrico . 5 Hornallas . Vidrio Templado Color Negro;15;15004;800000;1120000
136;COCINA VESTA CONSUMER 4H BLANC;COCINA VESTA CONSUMER BLANCO 4H CONSUMER;Tapa De Vidrio, Mesada Acero inox. . Quemadores En Acero Esmaltado. . Horno Tapa De Vidrio . Recubrimiento De Lana De Vidrio Esmaltado . Manija Metalica.;15;15006;500000;700000
137;COCINA VESTA CONSUMER 4H NEGRO;COCINA VESTA CONSUMER NEGRO 4H CONSUMER;Tapa De Vidrio . Mesada Acero inox. . Quemadores En Acero Esmaltado. . Horno Tapa De Vidrio, Recubrimiento De Lana De Vidrio Esmaltado. . Manija Metalica.;15;15006;500000;700000
207;COCINA VENICE CONSUMER NEGR 4H;COCINA VENICE CONSUMER NEGRO 4 H CONSUMER;Tapa De Vidrio. . Mesada Vidrio Templado, Color Negro. . Quemadores En Acero Esmaltado. . Horno Vidrio Total Y Doble Con Revestimiento De Lana. . Encendido Electrico. . Manija Metalica;15;15006;950000;1330000
213;COCINA VESTA CONSUMER BLANC 5H;COCINA VESTA CONSUMER BLANCO 5H;Tapa De Vidrio. . Mesada Acero inox. . Quemadores En Acero Esmaltado. . Horno Vidrio Total Y Doble Con Revestimiento De Lana De Vidrio Esmaltado. . Encendido Electrico. . Manija Metalica.;15;15006;950000;1330000
47;CONGELADOR CONSUMER 155LTS;CONGELADOR  CONSUMER 155 LTS TAPA DE VIDRIO CURVO;Capacidad: 155 Litros. . Puerta De Vidrio Curvo. . Con Cerradura. . Funcion Congelador Y Heladera. . 7 Niveles De Temperatura. . Ruedas Para Traslado. . Medidas: 83X63X71 Cm.;5;5002;2400000;3360000
48;CONGELADOR CONSUMER 250LTS;CONGELADOR CONSUMER 250.LTS  TAPA CIEGA Y CON TAPA VIDRIO ;Canasto interior Movil. . Control De Temperatura. . Manija Ergonomica. . Drenaje Para Limpieza. . Acabado En Blanco. . Ruedas De Traslado. . Tapa interior De Vidrio . Bajo Consumo De Energia. . Voltaje: 220V 50Hz. Med. 85X91X61;5;5002;1850000;2590000
50;CONGELADOR CONSUMER 550LTS;CONGELADOR CONSUMER 550 LITROS 2 PUERTAS TAPA CIEGA  3449 ;Congelador Consumer 2 Tapas Ciega . Capacidad: 550 Litros . Canasto interior Movil. (Canastilla) . Control De Temperatura. . Manija Ergonomica. . Drenaje Para Limpieza. . Acabado En Blanco. . Bajo Consumo De Energia. . Rueda Para Facil Manejo. . Voltaje 220V 50Hz . Congelador Freezer . Cerradura Con Llave Para Mayor Seguridad;5;5002;4400000;6160000
51;CONGELADOR CONSUMER 300L HELAD;CONGELADOR CONSUMER DE 300 LITROS P  HELADO;Capacidad 300 Litros. . Especial Para Helados. . Puerta De Vidrio Curvo. . Con Cerradura Y Llaves. . 7 Niveles De Temperatura. . Luces indicadoras. . Ruedas Para Traslado. . Medidas: 105X62X95 Cm. . Voltaje 220V.;5;5002;3100000;4340000
52;CONGELADOR CONSUMER 400L HELAD;CONGELADOR CONSUMER DE 400 LITROS P  HELADO;Capacidad 400 Lts. . Puerta Vidrio Curvo. . Con Cerraduras Y Llaves. . 7 Niveles De Temperatura. . Luces indicadoras. . Ruedas Para Traslado.;5;5002;3500000;4900000
53;CONGELADOR CONSUMER VERT 250L;CONGELADOR CONSUMER VERTICAL 250L GRIS 1P;Color: Gris . Capacidad: 250Lts . Estantes De Vidrio . Gaveta De Frutas Y Verduras . Porta Botellas . Control De Temperatura . Bajo Consumo . 5 Niveles De Temperatura . 6 Cajones individuales;5;5002;2000000;2800000
23;CONSERVADORA BOX 2 CONSUMER;CONSERVADORA CON SPEAKER COOLER BOX 2 CONSUMER;2 Parlantes Bluetooh . 4 Portavasos . 72 Hs. De Frio . Abridor De Botellas . Rueda De Goma . Asa Para Transporte . 50 Litros . 65 Latas . Bateria Recargable . Resistente Al Agua;5;5006;750000;1050000
24;CONSERVADORA SMART CONSUMER;CONSERVADORA CON SPEAKER SMART COOLER 2 CONSUMER;Conservadora A Bateria, Recargable . . Capacidad 11 Lts. (14 Latas) . 1 Parlante Bluetooth . Conexion Usb . Portacelular . Fuerte Asa . impermeable. Resistente Al Agua;5;5006;450000;630000
79;CONTADOR BILLETE CONSUMER 2661;CONTADOR DE BILLETES PROBANK PB 5000 CONSUMER  2661 ;Dise¤ado Especialmente Para Bancos. . Cuenta De 600 A 1800 Billetes Min. . Pantalla Lcd. . Detector De Billetes Falsos Uv (Ultravioleta) Mg (Magnetico). . Alerta De incidencias En El Conteo (Billetes Doblados, Medios Billetes). . Funciona Con La Mayoria De Las Monedas Del Mundo. . Cuenta Billetes, Cheques, Tickets Y Cupones. . Voltaje 220 110V.;35;35007;3200000;4480000
80;CONTADOR BILLETE CONSUMER 419;CONTADOR DE BILLETES PROBANK PB520 CONSUMER  419 ;Pantalla Lcd. . Cuenta Hasta 1000 Billetes Por Minuto. . Detector De Billetes Falsos Uv (Ultravioleta) Mg (Magnetico). . Detector Automatico Del Tama¤o Del Billete. . Cuenta Billetes Cheques Tickets Cupones. . Voltaje 220V;35;35007;1900000;2660000
54;BEBEDERO CONSUMER NEGRO ;BEBEDERO DISPENSADOR DE MESA CONSUMER F C COLOR NEGRO;Agua Fria Y Caliente. . Es De Mesa . Pantalla Con Display Lcd . Con Compresor . Temperaturas: 5-10 Grados C (Fria:), 85-95 Grados C (Caliente).;5;5003;850000;1190000
55;BEBEDERO CONSUMER MESA BLANCO;BEBEDERO DISPENSADOR CONSUMER F C DE MESA BLANCO;Temperaturas: 5-10 Grados C (Fria), 85-95 Grados C (Caliente);5;5003;750000;1050000
56;BEBEDERO CONSUMER LCD NEGRO ;BEBEDERO DISPENSADOR CONSUMER F C DE MESA LCD NEGRO;Color Negro. . Pantalla Con Display Lcd. . Con Compresor. . Temperaturas: 5-10 Grados C (Fri?A:), 85-95 Grados C (Caliente).;5;5003;1050000;1470000
242;BEBEDERO CONSUMER DE PIE BLANC;BEBEDERO DISPENSER DE PIE BLANCO CONSUMER;Modelo Simple De Pie Con Gabinete.  . Temperaturas Del Agua: Fria 5 A 10 ? Y Caliente 85 A 95 ?.;5;5003;950000;1330000
243;BEBEDERO CONSUMER DISPENSADOR;BEBEDERO CONSUMER DISPENSADOR DE PIE CON BOTELLON INTERNO;Bebedero Dispensador Consumer De Pie Con Botellon interno;5;5003;1250000;1750000
39;ENFRIADOR DE VINO CONSUMER;ENFRIADOR DE VINO CONSUMER 28 BOTELLAS;Capacidad 28 Botellas. . Control Ajustable De Temperatura De 11 A 16 C. Display Lcd Digital De Temperatura. . Puerta Vidrio Espejado. . Minimo Nivel De Ruido, Tan Solo 15Db. . Luz interior. . Estantes Removibles En Acero inoxidable. . Bajo Consumo Electrico. . Puerta Visor De Doble Vidrio. . Dise¤o Elegante. . Protege El Medio Ambiente, No Contamina. . Funcionamiento Sin Vibraciones. . Voltaje 220V. . Dimensiones: 46 X 74 X 55 Cm. (Ancho X Alto X Profundidad);36;36001;1450000;2030000
20;ESTUFAS VENTILADOR CONSUMER;ESTUFAS CON VENTILADOR CONSUMER;Potencia: 1800 - 2000 W. . Termostato Ajustable. . Proteccion Antideslizamiento. . Super Silencioso. . Alta Eficiencia.;25;25005;100000;140000
291;CALEFACTOR PARA PATIO CONSUMER;CALEFACTOR PARA PATIO A GAS NEGRO CONSUMER;Potente Calefactor De Facil instalacion.  . Capacidad De Calefaccion 45.000 Btu.  . area De Cobertura: 20-25M2.  . Ruedas Para Traslado.  . Encendido Electrico.  . Consumo: Entre 450 Y 850 Gramos Por Hora.  . Altura 2.25 Mts.  . Peso: 17 Kilos.  . Funciona Con Gas, Garrafa 10 K.  . Fabricado En Acero inoxidable.;25;25005;1900000;2660000
142;EXHIBIDOR CONSUMER 6 BANDEJAS;EXHIBIDOR 6 BANDEJAS CONSUMER CONSUMER;Vidrio Curvo, Humedecedor, Termostato Regulable.    . Vidrio Corredizo.  . Pie De Goma.;5;5004;950000;1330000
58;FABRICADORA HIELO CONSUMER 2K;FABRICADORA DE HIELO CONSUMER 2K;Hace Hielo En 20 Minutos. .  . 12 Cubos Por Ciclo Que Pueden Ser De Tres Tama¤os Peque¤o, Mediano Y Grande. . Panel De Vision Superior. . Capacidad Para 2K De Hielo.;36;36001;1050000;1470000
270;FABRICADORA HIELO CONSUMER 18K;FABRICADORA DE HIELO CONSUMER 18K CONSUMER;Panel De Mando Digital . 3 Tama¤os De Hielo . Tanque De Agua Ed 3.2 Litros ;36;36001;1350000;1890000
271;FABRICADORA HIELO CONSUMER 40K;FABRICADORA DE HIELO CONSUMER 40K;40Kg En 24Hs . Tanque De Agua Cap 1Kg . Puede Ser Conectado A La Toma De Agua . Puede Conectarse Con Botellones . Cap. De Almacenamiento Hasta 6Kg . Produce 32 Cubos De Hielo En 20Min . Estructura De Acero inox Y Plastico . Medidas: 69X40X38Cmd;36;36001;2400000;3360000
128;FREIDORA ELECTRICA 3L CONSUMER;FREIDORA ELECTRICA 3 LITROS CONSUMER;Termostato Regulable, Canasto En Acero inox.,  . Bacha En Acero inox. 3 Lts;1;1002;750000;1050000
129;FREIDORA ELECTRICA CONSUMER 7L;FREIDORA ELECTRICA CONSUMER 7L;Capacidad: 7 Lts . Potencia: 220V . Termostato Regulable . Canasto De Acero inoxidable. . Bacha En Acero inoxidable;1;1002;950000;1330000
36;MINIBAR CONSUMER DE 55LTS GRIS;MINIBAR CONSUMER DE 55LTS GRIS;Puerta De Aluminio. . ideal Para Uso En Hoteles, Departamentos, Oficinas. . Con Selector De Temperatura. . Taman?O Del Congelador 5L. . Capacidad Para Botellas De 2L. . Estante Organizador. . Taman?O: 52X44X48 Cm . Peso: 16 Kg. . Color Gris ;5;5001;850000;1190000
37;MINIBAR CONSUMER DE 55L NEGRO;MINIBAR CONSUMER DE 55L NEGRO;Puerta De Aluminio. . ideal Para Uso En Hoteles, Departamentos, Oficinas. . Con Selector De Temperatura. . Taman?O Del Congelador 5L. . Capacidad Para Botellas De 2L. . Estante Organizador. . Taman?O: 52X44X48 Cm . Peso: 16 Kg. . Color Negro ;5;5001;900000;1260000
44;HELADERA CONSUMER 120LTS NEGRO;HELADERA RETRO DE 120LTS  NEGRO CONSUMER;Dise¤o italiano. . Capacidad: 120 Litros. . Con Congelador. . Estantes De Vidrio Templado. . Cajon Para Vegetales. . Manija Externa Color Plata. . Control De Temperatura. . Medidas 89X49X54 Cm.;5;5001;1450000;2030000
246;FREIDORA ELECT CONSUMER 6LTS;FREIDORA ELECTRICA DE 1 TANQUE 6LTS CONSUMER;Freidora Electrica industrial - 1 Tanque . Termostato Con Control De Temperatura. Tapa De Acero inox. 1 Tanque De 6 Lts. Potencia: 2.5 . Kw. Peso 4,5 Kg. Medidas 275X460X300 Mm.;1;1002;600000;840000
247;FREIDORA ELECT CONSUMER 12LTS ;FREIDORA ELECTRICA 2 TANQUES 12 LTS CONSUMER;Termostato Con Control De Temperatura.  . Tapa De Acero inox.  . 2 Tanques De 6 Lts.  . Cada Uno. . Potencia: 5 Kw. Peso 9 Kg. Medidas 550X460X300 Mm;1;1002;1000000;1400000
248;MOLEDORA DE CARNE CONSUMER;MOLEDORA DE CARNE CONSUMER;Capacidad De Produccion 120 Kg H.  . Acero inoxidable.  . Power 0,55Kw. 220V 5Hz;36;36001;2000000;2800000
249;CORTADORA DE FIAMBRE CONSUMER;CORTADORA DE FIAMBRE CONSUMER  ITALUX SEMI AUTO 25 CM ICFSA250;ideal Para Cortar Embutidos En General. . Diametro De Cuchilla (Mm): 250 10? . Grosor De Corte (Cm): 0-12 14   ;36;36001;2300000;3220000
251;MAQUINA  DE PORORO CONSUMER;MAQUINA ELECTRICA DE PORORO CONSUMER;Maquina Electrica De Pororo . Llave De Encendido Y Apagado, iluminacion. Estructura De Aluminio. Olla Antiadherente. . Potencia 1.44Kw. 220-240V 50-60 Hz. Peso: 22 Kg. Medida: 500X370X680 Mm.;1;1009;1100000;1540000
252;SALCHICHERA CONSUMER;SALCHICHERA CONSUMER;Salchichera Consumer ( Panchos) . 9 Rodillos De Aluminio. . Control De Temperatura . Potencia: 1,35 Kw 200 V  50 Hz. . Peso: 13 Kg. . Medidas: 560 X 410 X 190 Mm.;1;1005;1100000;1540000
253;ESPIEDO CONSUMER ELECT 30P ;ESPIEDO ELECTRICO CONSUMER PARA 30 POLLOS;Capacidad 30 Pollos.  . Ventana De Vidrio.  . Temperatura Regulable.  . 6 Rodillos.  . Potencia 12.3 Kw. . 380V 50Hz. Medida: 1180X490X1380 Mm.;36;36001;10500000;14700000
254;ESPIEDO CONSUMER ELECT 15P ;ESPIEDO ELECTRICO CONSUMER PARA 15 POLLOS CONSUMER;Capacidad 15 Pollos.  . Ventana De Vidrio.  . Temperatura Regulable.  . 3 Rodillos.  . Potencia 6 Kw. . 380V Peso: 4,5 Kg. Medida: 1180X490X830 Mm.;36;36001;6500000;9100000
