Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle;Familia;Clase ;Costo AMRS;FCL
SueÒo001;Living Melo Esquinero 13;Living Melo Esquinero 13;"Su sensacion suave con capas de espuma de alta resistencia lo transforman en el living perfecto para quienes disfrutan de pasar tiempo en él con amigos, familiares, mirando la tele o descansando, ya que está conformada por dos piezas de 2 y 3 cuerpos respectivamente, de la cual una es estilo chaise, alargada.
Su color azul, que brinda una sensación de tranquilidad y calma, es perfecto para quienes quieren que su living sea el centro de atención de la sala de estar. 
El Living Esquinero Melo Azul está hecho a partir de madera reforestada 100% de Eucalipto y cuenta con tejido standard de buena calidad.
Sus medidas son: pieza de 2 cuerpos: 162 cm de largo ? / 85 cm de alto ? / 92 cm de profundidad.";2;207;7469000;10457000
Sueño002;Living Melo Esquinero 29;Living Melo Esquinero 29;"Tipo de producto: Sofa
Tono Madera: No Aplica
Cantidad de piezas: Dos
Largo: 252 cms
Alto: 101 cms
Ancho: 150 cms
Espumas: Poliuretano
Tejido: Tapiceria de alta gama
Madera: Eucalipto";2;207;7469000;10457000
Sueño003;Living Puff 1 Cuerpo ;Living Puff 1 Cuerpo;Living Puff 1 Cuerpo Color H;2;207;4204000;5886000
Sueño004;Living Viena 2 Cuerpos Col;Living Viena 2 Cuerpos Col ;Living Viena 2 Cuerpos Col H;2;207;1680000;2352000
Sueño005;Living Viena 3 Cuerpos Col ;Living Viena 3 Cuerpos Col ;Living Viena 3 Cuerpos Col H;2;207;2524000;3534000
Sueño006;Sommier  Pillow Top140X190Comp;Sommier Koala Dormilon Pillow Top Azul Y Bordo 140X190 Completo;"Internamente posee una estructura de resortes fabricada con acero templado.
Está cubierto con tejido “Jacquard” importado, seleccionado especialmente para esta línea.
Sensación Firme
Peso recomendado: 80 Kg.
Cabecera + Mesita";37;37001;1876000;2626000
Sueño007;Sommier  Pillow Top140X190Comp;Sommier Koala Dormilon Pillow  Top140 X 190  Completo ;"Medidas de 1.40 x 1.90
Dormilon con Pillow Top
Peso recomendado 90 kgs.
Cabecera + Mesita

";37;37001;2127000;2977000
Sueño008;Sommier Intense B+C 140X190;Sommier Sueñolar Intense Base Y Colchon 140X190;"Medida: 140x190
Diseño innovador con estructura de resortes pocket.
Altura del colchón: 33 cm.
Altura total del sommier : 68 cm.
Base + Colchón";37;37001;3687000;5161000
Sueño009;Sommier Intense B+C 160X200;Sommier Sueñolar Intense Base Y Colchon 160X200;"Sommier Sueñolar Intense 
Base Y Colchon
Medida: 160X200
Diseño innovador con estructura de resortes pocket.
Altura del colchón: 33 cm.
Altura total del sommier : 68 cm.
Peso recomendado: 90 kg";37;37001;4144000;5802000
Sueño010;Sommier Intense B+C 180X200;Sommier Sueñolar Intense Base Y Colchon 180X200;"Sommier Sueñolar Intense 
Base + Colchon
Altura del colchón: 33 cm.
Altura total del sommier : 68 cm.
Medidas: 1.80x2.00 m";37;37001;4956000;6939000
Sueño011;Sommier Koala  B+C 140 X192;Sommier Koala Dormilon Base Y Colchon 140 X 192;"Bases + colchón
Medidas de 140x190
Dormilon con Pillow Top
Peso recomendado 90kg";37;37001;1356000;1899000
Sueño012;Sommier Koala  Com. 120X190;Sommier Koala Dormilon Com. 120X190;"Internamente posee una estructura de resortes fabricada con acero templado.
Está cubierto con tejido de punto importado, seleccionado especialmente para esta línea.
Medidas: 1,20x1,90 m.
Peso recomendado 85kg";37;37001;1689000;2364000
Sueño013;Sommier Koala  Comp. 140X190 ;Sommier Koala Dormilon Completo 140 X 190 ;"Internamente posee una estructura de resortes fabricada con acero templado.
Está cubierto con tejido “Jacquard” importado, seleccionado especialmente para esta línea.
Sensación Firme.
Peso recomendado: 80 Kg.
Medidas: 1,40x1,90 m.
Cabecera + Mesita";37;37001;1836000;2571000
Sueño014;Sommier Koala  Comp. 160X200 ;Sommier Koala Dormilon Completo 160 X 200 ;"La mejor alternativa para complementar tu dormitorio y lograr el descanso que necesitas
Base con Colchón 160 x 200 Dormilón Koala,
Tendría la calidad, firmeza y resistencia que buscas.
Peso recomendado 80 kg
Cabecera + Mesita";37;37001;2084000;2917000
Sueño015;Sommier Koala B+C 100X190  ;Sommier Koala Dormilon Base Y Colchon 100 X 190  ;"Internamente posee una estructura de resortes fabricada con acero templado.
 Está cubierto con tejido “Jacquard” importado, seleccionado especialmente para esta línea.
Sensación Firme
Peso recomendado: 80 Kg. 
Base + Colchón";37;37001;1146000;1605000
Sueño016;Sommier Koala B+C 120 X 191;Sommier Koala Dormilon Base Y Colchon 120 X 191;"Medida: 120x190
El Sommier Koala Dormilon cuenta con una capa extra de espuma en la superficie (Pillowtop), cubierto con tejido polliester brindando una sensacion de suavidad en el descanso. Tecnologia de Resortes Bonell de acero templado.
Peso recomendado: 85kg
Base + Colchón";37;37001;1264000;1770000
Sueño017;Sommier Koala B+C 160 X 200;Sommier Koala Dormilon Base Y Colchon 160 X 200;"La línea Dormilon ofrece un sommier cuidado en cada detalle, pensado para dormir bien y mejorar la calidad de vida.
Internamente posee una estructura de resortes fabricada con acero templado.
Está cubierto con tejido de punto importado, seleccionado especialmente para esta línea.
Medidas: 1,60x2,00 m.
Peso recomendado 85 kg
Base + Colchón";37;37001;1604000;2245000
Sueño018;Sommier Koala Comp 100X190;Sommier  Koala Juvenil Completo 100 X 190;"Sommier Koala Juvenil 
Cabecera + Mesita
Medida: 100 X 190
Estructura interna con resortes tipo bonell, de acero templado de origen europeo. Cubiertos con espuma progresiva.
Nuestras bases están construidas con maderas nacionales de reforestación, las cuales previamente pasan por distintos tratamientos evitando así agentes dañinos.
Patas roscables lo cual permite ajustar la altura y estabilizar el producto.";37;37001;1538000;2153000
Sueño019;Sommier Koala Comp 100X190  ;Sommier Koala Dormilon Com.100X190  ;"Internamente posee una estructura de resortes fabricada con acero templado.
Está cubierto con tejido de punto importado, seleccionado especialmente para esta línea.
Medidas: 1,00x1,90 m.
Peso recomendado 80kg";37;37001;1571000;2200000
Sueño020;Sommier Koala Juv B+C100 X 190;Sommier  Koala Juvenil Base Y Colchon 100 X 190;"Medida: 1,00 x 1,90.
Base + Colchón
resortes internos de acero templado de origen español.
Utiliza una tela en tejido Jacquard con tejidos laterales en color azul y rosa.
Una base de 30 cm de altura 100% madera de eucalipto reforestada
Patas plásticas reforzadas.";37;37001;1036000;1450000
Sueño021;Sommier Koala Plat 140 X90 Com;Sommier Koala   Platino  140 X 190  Completo;"Sommier cubierto con tejidos estampados importados y estructura con resortes de acero templado de origen español.
Medidas:
1,40x1,90m.
Peso recomendado: 90kg
Cabecera + Mesita";37;37001;3773000;5282000
Sueño022;Sommier Koala Plat 160X200 Com;Sommier Koala  Platino  160 X 200 Completo;"Firmeza y Comodidad
Si te gusta que tu colchón tenga una sensación firme y la comodidad para un descanso reparador, el Platino es para vos. Cubierto por tejido de puntos y con estructura de resortes templados.
Medidas: 160x200.
Peso Recomendado: 90 kg para cada lado.
Cabecera + Mesita";37;37001;4180000;5852000
Sueño023;Sommier Koala Plat 160X200 Com;Sommier  Koala Platino  160 X 200 Base Dividida Completo;"Si te gusta que tu colchón tenga una sensación firme y la comodidad para un descanso reparador, el Platino es para vos. Cubierto por tejido de puntos y con estructura de resortes templados.
Especificaciones: Medidas: 180x200.
Peso Recomendado: 90 kg para cada lado.
Cabecera + Mesita";37;37001;4359000;6102000
Sueño024;Sommier Koala Plat 180X200 com;Sommier Koala  Platino  180 X 200 Completo;"Si te gusta que tu colchón tenga una sensación firme y la comodidad para un descanso reparador, el Platino es para vos. Cubierto por tejido de puntos y con estructura de resortes templados.
Medidas: 180x200.
Peso Recomendado: 90 kg para cada lado.
Cabecera + Mesita";37;37001;4581000;6413000
Sueño025;Sommier Koala Plat B+C 140X190;Sommier Koala Platino  Base Y Colchon140 X 190 ;"Sommier cubierto con tejidos estampados importados y estructura con resortes de acero templado de origen español.
Medidas:
1,40x1,90m.
Peso recomendado: 90kg
Base + Colchón";37;37001;3032000;4244000
Sueño026;Sommier Koala Plat B+C 160X200;Sommier Koala  Platino  Base Y Colchon160 X 200 ;"Este sommier está recubierto con tejidos Jacquard importados, y estructura con resortes de Acero templado de origen español.
Con tejidos de punto estampado
Importado y tejido Jacquard.
Estructura con resortes de acero
templado de origen europeo tipo
bonell.
Anti acaros
Anti Hongos
Sensacion Firme
Medida: 160x200
Peso Recomendado 80kg
Base + Colchón";37;37001;3438000;4814000
Sueño027;Sommier Koala Plat B+C 160X200;Sommier  Koala Platino  Base Y Colchon160 X 200 Base Dividida ;"Sommier Koala Platino
 Base Y Colchon
Medida: 160 X 200
Base Dividida
Base + Colchón";37;37001;3617000;5064000
Sueño028;Sommier Koala Plat B+C 180X200;Sommier  Koala Platino  Base Y Colchon180 X 200 ;"Si te gusta que tu colchón tenga una sensación firme y la comodidad para un descanso reparador, el Platino es para vos. Cubierto por tejido de puntos y con estructura de resortes templados.
Medidas: 180x200.
Peso Recomendado: 90 kg para cada lado.
Base + Colchón";37;37001;3839000;5375000
Sueño029;Sommier Koala Prem 140X190 Com;Sommier Koala Dormilon Premiumtop 140 X 190   Completo ;"Sommier con Pillow Top o capa extra de espuma.
Cubierto con tejidos importados
Estructura con resortes de acero templado.
Sensación Suave.
Color Blanco y Negro
Peso Recomendado: 85 Kgs.
Medidas: 1,40 mts. x 1,90 mts.
Cabecera + Mesita";37;37001;2516000;3522000
Sueño030;Sommier Koala Prem 160X190 Com;Sommier Koala Dormilon Premiumtop160 X 190 Completo ;"Sommier con Pillow Top o capa extra de espuma.
Cubierto con tejidos importados
Estructura con resortes de acero templado.
Sensación Suave.
Color Blanco y Negro
Peso Recomendado: 85 Kgs.
Medidas: 160X200 mts.
Cabecera + Mesita";37;37001;2694000;3772000
Sueño031;Sommier Koala Prem 180X200 Com;Sommier Koala Dormilon Premiumtop180 X 200 Completo ;"Sommier Koala Dormilon 
Premiumtop
Medidas: 160 X 190
Cabecera + Mesita";37;37001;3087000;4321000
Sueño032;Sommier Koala Prem B+C 140X190;Sommier Koala Dormilon Premium Base Y Colchon Top 140 X 190  ;"Koala Dormilon Premium 
Base Y Colchon Top 140 X 190 
Te garantizan la calidad, firmeza y resistencia que buscas.
80 kgs por lado
Base + Colchón";37;37001;1866000;2613000
Sueño033;Sommier Koala Prem B+C 160X200;Sommier Koala Dormilon Premium Base Y Colchontop 160 X 200;"Sommier con Pillow Top o capa extra de espuma.
Cubierto con tejidos importados
Estructura con resortes de acero templado.
Sensación Suave.
Color Blanco y Negro
Peso Recomendado: 85 Kgs.
Medidas: 160X200 mts.
Base + Colchón";37;37001;2045000;2863000
Sueño034;Sommier Koala Prem B+C 180X200;Sommier Koala Dormilon Premium Base Y Colchon Top 180 X 200;"Sommier Koala Dormilon Premium
Base Y Colchon Top
Medida: 180 X 200
";37;37001;2414000;3379000
Sueño035;Sommier Koala Ultra B+C160X200;Sommier Koala Ultra Visco Pocket Completo 140 X 190 ;"Suavidad y Confort que se adapta a los dos.
El Ultra Visco Pocket está pensado y diseñado para que tengas el mejor descanso con la máxima adaptabilidad sin ocasionar molestias a tu pareja.
Su tecnología de resortes Pocket embolsados de manera individual permite que se adapte al movimiento de tu cuerpo, evitando interrupción del sueño y que se disipe al resto del colchón. Cubierto por una capa de espuma viscolástica que otorga una sensación suave al tacto, protegido por telas tratadas antiácaros para mayor higiene y salubridad de tu descanso.
Peso recomendado: 95 kg
Base + Colchon
Medida: 160x200";37;37001;4078000;5709000
Sueño036;Sommier Koala Ultra B+C180X200;Sommier Koala Ultra Visco Pocket Completo 180 X 200 ;"Sensación suave
Resortes pocket
Tela tejido de punto antiácaros
Peso recomendado 100 kg
Medida: 180x200
Base + Colchon";37;37001;4616000;6462000
Sueño037;Sommier Koala Ultrab+C200X200 ;Sommier Koala Ultra Visco Pocket Completo  200 X 200 ;"Sommier Koala Ultra 
Visco Pocket 
Medidas: 200 X 200
Base + Colchon ";37;37001;5547000;7765000
Sueño038;Sommier Koalaultra B+C160X200 ;Sommier Koala Ultra Visco Pocket Completo 160 X 200 Base Dividida ;"Sommier Koala Ultra Visco Pocket
Base Dividida 
Un sommier cubierto con tejido de punto importado; con capas adicionales de espuma y estructura con resortes de acero templado de origen español.
Medidas disponibles: 1,60x2,00 m. 
Peso recomendado 100kg
Base + Colchon ";37;37001;4337000;6072000
Sueño039;Sommier Pillow Top  120X190B+C;Sommier Koala Dormilon Pillow Top Azul Y Bordo 120X190Base Y Colchon;"Internamente posee una estructura de resortes fabricada con acero templado.
Está cubierto con tejido de punto importado, seleccionado especialmente para esta línea.
Medidas: 1,20x1,90 m.
Peso recomendado 85kg
Base + Colchón";37;37001;1305000;1827000
Sueño040;Sommier Pillow Top  120X190B+C;Sommier Koala Dormilon Pillow Base Y Colchon Top120 X 190;"El Sommier Koala Dormilon cuenta con una capa extra de espuma en la superficie (Pillowtop), cubierto con tejido polliester brindando una sensacion de suavidad en el descanso. Tecnologia de Resortes Bonell de acero templado.
Peso recomendado: 85kg
Base + Colchón";37;37001;1384000;1938000
Sueño041;Sommier Pillow Top 100X190 B+C;Sommier Koala Dormilon Pillow Top Azul Y Bordo 100X190 Base Y Colchon;"Internamente posee una estructura de resortes fabricada con acero templado.
Está cubierto con tejido de punto importado, seleccionado especialmente para esta línea.
Medidas: 1,00x1,90 m.
Peso recomendado 80kg 
Base + Colchón";37;37001;1186000;1660000
Sueño042;Sommier Pillow Top 100X190 B+C;Sommier Koala Dormilon Pillow Base Y Colchon Top100 X 190  ;"Internamente posee una estructura de resortes fabricada con acero templado.
Está cubierto con tejido de punto importado, seleccionado especialmente para esta línea.
Medidas: 1,00x1,90 m.
Peso recomendado 80kg
Base + Colchón";37;37001;1245000;1743000
Sueño043;Sommier Pillow Top 100X190Comp;Sommier Koala Dormilon Pillow Top Azul Y Bordo 100X190 Completo ;"Sommier Koala Dormilon Pillow Top
Medida: 100X190 
Cabecera + Mesita";37;37001;1611000;2255000
Sueño044;Sommier Pillow Top 100X190Comp;Sommier Koala Dormilon Pillow Top100 X 190   Completo ;"Bases con colchón
Medidas de 140x190
Dormilon con Pillow Top
Peso recomendado 90kg
Cabecera + Mesita";37;37001;1815000;2541000
Sueño045;Sommier Pillow Top 120X190Comp;Sommier Koala Dormilon Pillow Top Azul Y Bordo 120X190 Completo;"Internamente posee una estructura de resortes fabricada con acero templado.
Está cubierto con tejido de punto importado, seleccionado especialmente para esta línea.
Medidas: 1,20x1,90 m.
Peso recomendado 85kg 
Cabecera + Mesitas";37;37001;1730000;2421000
Sueño046;Sommier Pillow Top 120X190Comp;Sommier Koala Dormilon Pillowntop120 X 190 Completo ;"Medidas: 120x190
El Sommier Koala Dormilon cuenta con una capa extra de espuma en la superficie (Pillowtop), cubierto con tejido polliester brindando una sensacion de suavidad en el descanso. Tecnologia de Resortes Bonell de acero templado.
Peso recomendado: 85kg 
Cabecera + Mesita

";37;37001;1954000;2736000
Sueño047;Sommier Pillow Top 140X190 B+C;Sommier Koala Dormilon Pillow Top Azul Y Bordo 140X190 Base Y Colchon;"Internamente posee una estructura de resortes fabricada con acero templado.
Está cubierto con tejido “Jacquard” importado, seleccionado especialmente para esta línea.
 Sensación Firme
Peso recomendado: 80 Kg.
Base + Colchón";37;37001;1397000;1956000
Sueño048;Sommier Pillow Top 140X190 B+C;Sommier Koala Dormilon Pillow Base Y Colchon Top140 X 190 ;"Bases con colchón
Medidas de 140x190
Dormilon con Pillow Top
Peso recomendado 90kg";37;37001;1514000;2119000
