Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle;Familia;Clase ;Costo AMRS;FCL
Sueño049;Sommier Pillow Top 160X200 B+C;Sommier Koala Dormilon Pillow Top Azul Y Bordo 160X200 Base Y Colchon;"La mejor alternativa para complementar tu dormitorio y lograr el descanso que necesitas
Base con Colchón 160 x 200 Dormilón Koala,
Tendría la calidad, firmeza y resistencia que buscas.
Peso recomendado 80 kg
Base + Colchón";37;37001;1676000;2346000
Sueño050;Sommier Pillow Top 160X200 B+C;Sommier Koala Dormilon Pillowbase Y Colchon Top160 X 200 ;"La mejor alternativa para complementar tu dormitorio y lograr el descanso que necesitas
Cama Somier con Pillow Top 160 x 200 Dormilón Koala
Base + Colchón";37;37001;1760000;2463000
Sueño051;Sommier Pillow Top 160X200Comp;Sommier Koala Dormilon Pillow Top Azul Y Bordo 160X200 Completo ;"Sommier cubierto con tejidos estampados importados.
Estructura con resortes de acero templado de origen español.
Medida: 160x200
Cabecera + Mesita";37;37001;2154000;3016000
Sueño052;Sommier Pillow Top 160X200Comp;Sommier Koala Dormilon Pillow Top160 X 200 Completo ;"La mejor alternativa para complementar tu dormitorio y lograr el descanso que necesitas
Cama Somier con Pillow Top 160 x 200 Dormilón Koala con cabecera y mesitas que te garantizan la calidad, firmeza y resistencia que buscas
Medida: 160x200
Cabecera + Mesita";37;37001;2373000;3322000
Sueño053;Sommier Silverlar Plus 140X190;Sommier Sueñolar Silverlar Plus 140X190;"Sommier Sueñolar Silverlar Plus 
Medida: 140X190
Tipo de Resorte: Bonell
Altura Sommier: 62 cm 
Altura colchón: 27 cm
Altura Box: 23 cm 
Altura de Pata: 12 cm 
Madera utilizada en el box: Fabricado con Eucalipto 100% Reforestada
Tipo de tela: Tejido de Punto";37;37001;2290000;3206000
Sueño054;Sommier Silverlar Plus 160X200;Sommier Sueñolar Silverlar Plus 160X200;"Tipo de Resorte: Bonell
Altura Sommier: 62 cm 
Altura colchón: 27 cm
Altura Box: 23 cm 
Altura de Pata: 12 cm 
Madera utilizada en el box: Fabricado con Eucalipto 100% Reforestada
Tipo de tela: Tejido de Punto
MEDIDA: 1.60 x 200";37;37001;2700000;3780000
Sueño055;Sommier Silverlar Plus 180X200;Sommier Sueñolar Silverlar Plus 180X200;"Sommier Sueñolar Silverlar Plus 
Medida: 180X200
Diseñado especialmente para un mercado altamente competitivo con tejidos de punto de ultra calidad, a lo que sumamos la más cuidadosa elaboración para lograr productos de alto rango. Viene recubierto con tejido de punto, con tratamiento Anti Ácaros y Anti Hongos.
Su núcleo de resortes embolsados, cosidos individualmente, funcionan como amortiguadores totalmente independientes, absorbiendo el peso y movimientos sin transmitirlos al resto del colchón";37;37001;3183000;4456000
Sueño056;Sommier Silverlar Plus 200X200;Sommier Sueñolar Silverlar Plus 200X200;"Sommier Sueñolar Silverlar Plus
Medida: 200X200
Tipo de Resorte: Bonell
Altura Sommier: 62 cm 
Altura colchón: 27 cm
Altura Box: 23 cm 
Altura de Pata: 12 cm 
Madera utilizada en el box: Fabricado con Eucalipto 100% Reforestada
Tipo de tela: Tejido de Punto";37;37001;3584000;5017000
Sueño057;Sommier Sueñolar B+C 140X190;Sommier Sueñolar Silverlar Pillow Top  Base Y Colchon 140 X 190;"Sommier Sueñolar Silverlar Pillow Top Base Y Colchon 140 X 190
Revestido con tejido de punto y matelasseado con manta de espuma extra que otorga mayor comodidad y altura al cochón.
Este clásico modelo evoluciona y ahora también incorpora tratamiento antiácaros y antihongos.
Estructura interna con resortes tipo bonell, de acero templado de origen europeo.
Cubiertos con espuma progresiva.
Nuestras bases están construidas con maderas nacionales de reforestación, las cuales previamente pasan por distintos tratamientos evitando así agentes dañinos.
Patas roscables lo cual permite ajustar la altura y estabilizar el producto
Peso Recomendado: 85Kg. por Persona
Base + Colchón";37;37001;1923000;2692000
Sueño058;Sommier Sueñolar B+C 140X190;Sommier Sueñolar Pillow Extrafirme Base Y Colchon 140 X 190;"Sommier Sueñolar Pillow Extrafirme 
Base + Colchon 
Medidas: 140 X 190
Base + Colchón";37;37001;2111000;2956000
Sueño059;Sommier Sueñolar B+C 160X190;Sommier Sueñolar Silverlar Pillow Top Base Y Colchon 160X 190;"Sommier Sueñolar Silverlar Pillow Top
Medida: 160x 190
Soporta 85 kg por lado
Con pillow top
Sensacion Suave
Cabecera + Mesita
Base + Colchón";37;37001;2249000;3149000
Sueño060;Sommier Sueñolar B+C 160X90;Sommier Sueñolar Pillow Extrafirme Top Base Y Colchon 160X 190;"Sommier Sueñolar Pillow Extrafirme Top 
Base + Colchon 
Medidas: 160X 190";37;37001;2472000;3461000
Sueño061;Sommier Sueñolar Comp 140X190;Sommier Sueñolar Pillow Extrafirme Top  Completo  140 X 190;"Sommier Sueñolar Pillow Extrafirme Top 
Cabecera + MEsita 
Medida: 140 X 190
Cabecera + Mesita";37;37001;2711000;3796000
Sueño062;Sommier Sueñolar Comp 160X190;Sommier Sueñolar Pillow Extrafirme Top Completo 160X 190;"Sommier Sueñolar Pillow Extrafirme Top Completo 
Cabecera + Mesita
Medida: 160X 190";37;37001;3072000;4301000
Sueño063;Sommier Sueñolar Comp 140X190;Sommier Sueñolar Silverlar Pillow Top  Completo  140 X 190;"Sommier Sueñolar Silverlar Pillow Top 140 X 190
Tipo de Resorte: Bonell
Altura Sommier: 58 cm 
Altura colchón: 26 cm
Altura Box: 20 cm 
Altura de Pata: 12 cm 
Madera utilizada en el box: Fabricado con Eucalipto 100% Reforestada
Tipo de tela: Tejido de Punto
Cabecera + Mesita";37;37001;2505000;3507000
Sueño064;Sommier Sueñolar Comp 160X190;Sommier Sueñolar Silverlar Pillow Top Completo 160X 190;"Modelo: Pillow
Medida: 160x190
Tipo de Resorte: Bonell
Altura Sommier: 58 cm 
Altura colchón: 26 cm
Altura Box: 20 cm 
Altura de Pata: 12 cm 
Madera utilizada en el box: Fabricado con Eucalipto 100% Reforestada
Tipo de tela: Tejido de Punto
Cabecera + Mesita";37;37001;2831000;3964000
Sueño065;Sommier Sueñolar Plus+ 140X190;Sommier Sueñolar Plus Mas 140X190;"Sommier Sueñolar Plus Mas 
Medida: 140X190";37;37001;2616000;3663000
Sueño066;Sommier Sueñolar Plus+ 160X200;Sommier Sueñolar Plus Mas  160X200;"Sommier Sueñolar Plus Mas 160X200
Distinción Euro Top: El Sommier Dormilar Plus posee una capa extra tipo Euro Top que no sólo ofrece mayor contención a la hora del descanso, sino que además extiende su durabilidad. Su diseño destaca por los tonos claros y dorados volviéndolo altamente adaptable a cualquier ambiente.
Circulación y frescura: Su Matelaseado con Tapa de Tejido de Punto materializa un soporte adaptable y al mismo tiempo fresco. La elasticidad característica de estos tejidos habilita la respiración fluida del sommier disipando la temperatura y manteniéndolo seco.
Estructura adecuada: La correcta alineación de tu espalda y columna son parte crucial de un descanso adecuado. La estructura interna con Resortes Bonell de acero templado garantiza la contención que tu cuerpo necesita.
Cuida tu bienestar: La superficie de nuestro sommier cuenta con un tratamiento antihongos y antiácaros para que uno se preocupe únicamente en dormir.";37;37001;3160000;4424000
Sueño067;Sommier Sueñolar Plus+ 180X200;Sommier Sueñolar Plus Mas 180X200;"Juego de Somier Sueñolar Plus, soporta un peso máximo de 100 kilos por lado, cuenta con tejido de punto voluminoso y espuma viscoelástica. Su base está hecha con maderas nacionales reforestadas y posee tratamiento anti ácaros y anti hongos.
 Es el somier infaltable en tu hogar, cuenta con una estructura interna de resortes ensacados, con tecnología pocket coil, cubiertos con espuma progresiva. Su base está construida con maderas nacionales reforestadas, las cuales previamente pasan por distintos tratamientos evitando así agentes dañinos. El somier Plus, posee patas roscables de 12 cm lo cual permite al usuario colocar la altura que desee, además de mejorar la estabilización del producto.
El grosor de la base es de 23 cm y el colchón tiene una altura de 34 cm, llegando en conjunto a 69 cm.
Medida:1.80 X 2.00";37;37001;3669000;5137000
Sueño068;Sommier Sueñolar Plus+ 200X200;Sommier Sueñolar Plus Mas200X200;"Juego de Somier Sueñolar Plus, soporta un peso máximo de 100 kilos por lado, cuenta con tejido de punto voluminoso y espuma viscoelástica. Su base está hecha con maderas nacionales reforestadas y posee tratamiento anti ácaros y anti hongos.
 Es el somier infaltable en tu hogar, cuenta con una estructura interna de resortes ensacados, con tecnología pocket coil, cubiertos con espuma progresiva. Su base está construida con maderas nacionales reforestadas, las cuales previamente pasan por distintos tratamientos evitando así agentes dañinos. El somier Plus, posee patas roscables de 12 cm lo cual permite al usuario colocar la altura que desee, además de mejorar la estabilización del producto.
El grosor de la base es de 23 cm y el colchón tiene una altura de 34 cm, llegando en conjunto a 69 cm.
Medida: 2.00 x 2.00";37;37001;4120000;5768000
Sueño069;Sommier Sueñolar B+C 100X190;Sommier Sueñolar Silverlar Base Y Colchon 100X190;"Modelo: Silverlar
Tipo de Resorte: Bonell
Altura Sommier: 57 cm 
Altura colchón: 25 cm
Altura Box: 20 cm 
Altura de Pata: 12 cm 
Madera utilizada en el box: Fabricado con Eucalipto 100% Reforestada
Tipo de tela: Tejido de Punto
Base + Colchón";37;37001;1187000;1662000
Sueño070;Sommier Sueñolar B+C 120X190;Sommier Sueñolar Silverlar Base Y Colchon 120X190;"Modelo: Silverlar
Este clásico modelo evoluciona y ahora también incorpora tratamiento antiácaros y antihongos.
Estructura interna con resortes tipo bonell, de acero templado de origen europeo.
Cubiertos con espuma progresiva.
Nuestras bases están construidas con maderas nacionales de reforestación, las cuales previamente pasan por distintos tratamientos evitando así agentes dañinos.
Patas roscables lo cual permite ajustar la altura y estabilizar el producto
Peso Recomendado: 85Kg. por Persona
Medidas: 120x190
Imagen Ilustrativa
Base + Colchón";37;37001;1348000;1887000
Sueño071;Sommier Sueñolar B+C 140X190;Sommier Sueñolar Silverlar Base Y Colchon 140X190;"Modelo: Silverlar
Este clásico modelo evoluciona y ahora también incorpora tratamiento antiácaros y antihongos.
Estructura interna con resortes tipo bonell, de acero templado de origen europeo.
Cubiertos con espuma progresiva.
Nuestras bases están construidas con maderas nacionales de reforestación, las cuales previamente pasan por distintos tratamientos evitando así agentes dañinos.
Patas roscables lo cual permite ajustar la altura y estabilizar el producto
Peso Recomendado: 85Kg. por Persona
Base + Colchón";37;37001;1500000;2100000
Sueño072;Sommier Sueñolar B+C 160X200;Sommier Sueñolar Silverlar Base Y Colchon 160X200;"Modelo: Silverlar
Comodidad y altura al cochón.
Este clásico modelo evoluciona y ahora también incorpora tratamiento antiácaros y antihongos.
Estructura interna con resortes tipo bonell, de acero templado de origen europeo.
Cubiertos con espuma progresiva.
Nuestras bases están construidas con maderas nacionales de reforestación, las cuales previamente pasan por distintos tratamientos evitando así agentes dañinos.
Patas roscables lo cual permite ajustar la altura y estabilizar el producto
Peso Recomendado: 85Kg. por Persona
Base + Colchón";37;37001;1718000;2405000
Sueño073;Sommier Sueñolar Comp 100X190;Sommier Sueñolar Silverlar Completo 100X190;"Modelo: Silverlar
Tipo de Resorte: Bonell
Altura Sommier: 57 cm 
Altura colchón: 25 cm
Altura Box: 20 cm 
Altura de Pata: 12 cm 
Madera utilizada en el box: Fabricado con Eucalipto 100% Reforestada
Tipo de tela: Tejido de Punto
Cabecera + Mesita";37;37001;1734000;2428000
Sueño074;Sommier Sueñolar Comp 120X190;Sommier Sueñolar Silverlar  Completo120X190;"Modelo: Silverlar
Este clásico modelo evoluciona y ahora también incorpora tratamiento antiácaros y antihongos.
Estructura interna con resortes tipo bonell, de acero templado de origen europeo.
Cubiertos con espuma progresiva.
Nuestras bases están construidas con maderas nacionales de reforestación, las cuales previamente pasan por distintos tratamientos evitando así agentes dañinos.
Patas roscables lo cual permite ajustar la altura y estabilizar el producto
Peso Recomendado: 85Kg. por Persona
Medidas: 120x190
Imagen Ilustrativa
Cabecera + Mesita";37;37001;1895000;2653000
Sueño075;Sommier Sueñolar Comp 140X190;Sommier Sueñolar Silverlar Completo140X190;"Sommier Sueñolar Silverlar 
Medida: 140X190
Tipo de Resorte: Bonell
Altura Sommier: 62 cm 
Altura colchón: 27 cm
Altura Box: 23 cm 
Altura de Pata: 12 cm 
Madera utilizada en el box: Fabricado con Eucalipto 100% Reforestada
Tipo de tela: Tejido de Punto
Cabecera + Mesita";37;37001;2082000;2915000
Sueño076;Sommier Sueñolar Comp 160X200;Sommier Sueñolar Silverlar Completo160X200;"Sommier Sueñolar Silverlar Completo160X200
Tipo de Resorte: Bonell
Altura Sommier: 58 cm 
Altura colchón: 26 cm
Altura Box: 20 cm 
Altura de Pata: 12 cm 
Madera utilizada en el box: Fabricado con Eucalipto 100% Reforestada
Tipo de tela: Tejido de Punto
Cabecera + Mesita";37;37001;2300000;3219000
Sueño077;Sommier Trimax 160X200;Sommier Sueñolar Trimax 160X200;"Diseño innovador que permite regular la comodidad para cada persona. Contando con planchas adecuadas para el soporte lumbar, estas pueden ser utilizadas independientemente a cada lado del colchón creando una superficie más firme o suave de acuerdo a la necesidad.
Estructura interna con resortes tipo bonell, de acero templado de origen europeo.
Nuestras bases están construidas con maderas nacionales de reforestación, las cuales previamente pasan por distintos tratamientos evitando así agentes dañinos.
Peso Recomendado: 120Kg. por Persona
Medida: 1.60 X 2.00
Anti ácaros y Anti Hongos.
Tejido Voluminous.
Resortes Bonell.
Madera Reforestada.
Sensación Extrafirme.";37;37001;4816000;6742000
Sueño078;Sommier Trimax 180X200;Sommier Sueñolar Trimax 180X200;"Sommier Sueñolar Trimax 180X200
Anti ácaros y Anti Hongos.
Tejido Voluminous.
Resortes Bonell.
Madera Reforestada.
Sensación Extrafirme.
Peso Recomendado: 120Kg. por Persona";37;37001;5664000;7930000
Sueño079;Sommier Trimax200X200;Sommier Sueñolar Trimax200X200;"Máximo soporte con firmeza y durabilidad. 
Diseño innovador que permite regular la comodidad para cada persona. Contando con planchas adecuadas para el soporte lumbar, estas pueden ser utilizadas independientemente a cada lado del colchón creando una superficie más firme o suave de acuerdo a la necesidad.
Estructura interna con resortes tipo bonell, de acero templado de origen europeo.
Nuestras bases están construidas con maderas nacionales de reforestación, las cuales previamente pasan por distintos tratamientos evitando así agentes dañinos.
Peso Recomendado: 120Kg. por Persona
MEDIDAS: 2.00 X 2.00
Anti ácaros y Anti Hongos.
Tejido Voluminous.
Resortes Bonell.
Madera Reforestada.
Sensación Extrafirme.";37;37001;6083000;8516000
Sueño080;Sommier Visco  160X200;Sommier Sueñolar Visco  160X200;"Sommier Sueñolar Visco 160X200
Suavidad sin hundirse: La capa de Espuma Viscoelástica de alta densidad permite descansar sobre una superficie acolchonada y suave que se adapta a la figura del cuerpo sin producir hundimiento.
Frescura que se respira: Su Matelaseado con Tapa de Tejido de Punto materializa un soporte adaptable y al mismo tiempo fresco. La elasticidad característica de estos tejidos habilita la respiración fluida del sommier disipando la temperatura y manteniéndolo seco.
Estructura adecuada: La correcta alineación de tu espalda y columna son parte crucial de un descanso adecuado. La estructura interna con resortes Bonell de acero templado de nuestro sommier Visco garantiza la contención que tu cuerpo necesita.
Cuida tu bienestar: La superficie de nuestro sommier cuenta con un tratamiento antihongos y antiácaros para que uno se preocupe únicamente en dormir.";37;37001;6166000;8632000
Sueño081;Sommier Visco  180X200;Sommier Sueñolar Visco  180X200;"Diseño innovador con estructura de resortes pocket.
 Altura del colchón: 40 cm.
 Altura total del sommier : 68 cm.
Medidas: 1.80x2.00 m";37;37001;7260000;10164000
Sueño082;Sommier Visco  200X200;Sommier Sueñolar Visco  200X200;"Diseño innovador con estructura de resortes pocket.
Altura del colchón: 40 cm.
Altura total del sommier : 68 cm.
Medidas: 2.00x2.00 m";37;37001;7794000;10912000
