CONVERSOR DIGITALdigo Proveedor ;Nombre ;Descripcion Larga;Detalle;Descripcion Larga;;descrip larga (max 180);Familia;Clase ;costo;Precio Lista
1132618;Televisor Vizzion 32  Smart;Televisor Vizzion 32  Le32E10 Led Smart - Wi-Fi Hdmi / Usb +Conversor Digital Conversor Digital;"Modelo: Le32E10 
Tamanho De Pantalla: Led De 32 
Resolucion: Hd 1366 X 768P
Conectividad: Wi-Fi
Interfaz: Hdmi Y Usb";Televisor Vizzion 32  Le32E10 Led Smart - Wi-Fi Hdmi / Usb +Conversor Digital Conversor Digital;27;95;9;9001;1520000;2127000
1132601;Televisor Vizzion 65  Smart 4K;Televisor Vizzion 65  Le65Q21 Led Smart 4K Ultra Hd Wi-Fi Hdmi / Usb+Conversor Digital;"Incluye: Soundbar Integrado
Modelo: Le65Q21
Tamanho De Pantalla: Led De 65 
Resolucion: 4K Ultra Hd 3840 X 2160P
Conectividad: Wi-Fi
Interfaz: Hdmi Y Usb";Televisor Vizzion 65  Le65Q21 Led Smart 4K Ultra Hd Wi-Fi Hdmi / Usb+Conversor Digital;30;86;9;9001;5390000;7545000
1156607;Televisor Aiwa 42  Smart ;Televisor Aiwa 42  Aw42B4Sm Full Hd Smart Wi-Fi Hdmi / Usb+Conversor Digital;"Modelo:  Aw42B4Sm
Resolucion De La Pantalla: Full Hd 1080P                                         
Pantalla: Led De 42  Smart
Interfaz: Hdmi  Usb  A V   Lan  Digital Audio Out  Entrada Para Antena  Audio Out
Conectividad: Wifi Y Bluetooth 
Conversor Digital";Televisor Aiwa 42  Aw42B4Sm Full Hd Smart Wi-Fi Hdmi / Usb+Conversor Digital;25;76;9;9001;2368000;3316000
1009538;Televisor Aiwa 58  Smart 4K ;Televisor Aiwa 58  Aw58B4K Led Smart 4K Hdmi / Usb / Puerto Ethernet + Conversor Digital;"Resolucion De La Pantalla 4K Ultra Hd
Pantalla Led De 58 
Sintonizador Digital Integrado  Isdbt 
Conectividad Inalambrica Wifi
Interfaz: Hdmi  Usb  Lan Y Av
Conversor Digital
Modelo: Aw58B4K";Televisor Aiwa 58  Aw58B4K Led Smart 4K Hdmi / Usb / Puerto Ethernet + Conversor Digital;28;88;9;9001;3896000;5454000
1007893;Televisor Aiwa 65  Smart 4K ;Televisor Aiwa 65  Aw65B4K Led Smart 4K Hdmi / Usb / Puerto Ethernet+ Conversor Digital;"Modelo: Aw65B4K
Resolucion De La Pantalla 4K Ultra Hd
Pantalla Led De 65 
Sintonizador Digital Integrado  Isdbt 
Conectividad Inalambrica Wifi
Interfaz: Hdmi  Usb  Lan Y Avernet+ Conversor Digital";Televisor Aiwa 65  Aw65B4K Led Smart 4K Hdmi / Usb / Puerto Ethernet+ Conversor Digital;28;87;9;9001;5084000;7118000
1161526;Televisor Coby 42  Smart;Televisor Coby 42  Cy3448-42Sms Led Smart Full Hd Wi-Fi Hdmi / Usb  +Conversor Digital;"Modelo: Cy3448-42Sms
Smart Full Hd 1920X1080P
Pantalla: Led De 42 
Conectividad: Wifi
Interfaz: Hdmi  Usb  Vga Y Lan
Sistema Operativo: Android";Televisor Coby 42  Cy3448-42Sms Led Smart Full Hd Wi-Fi Hdmi / Usb  +Conversor Digital;24;86;9;9001;2284000;3197000
1158182;Televisor Coby 55 Smart 4K Uhd;Televisor Coby 55  Cy3359-554Ks Smar 4K+Teclado+4K Ultra Hd Wi-Fi / Hdmi / Usb + Conversor Digital;"Modelo:  Cy3359-554Ks 
Teclado
Resolucion De La Pantalla: 4K Ultra Hd 3840X2160P
Pantalla: Led De 55 
Conectividad: Wifi
Interfaz: Hdmi  Usb  Vga Y Lan
Sistema Operativo: Android";Televisor Coby 55  Cy3359-554Ks Smar 4K+Teclado+4K Ultra Hd Wi-Fi / Hdmi / Usb + Conversor Digital;30;98;9;9001;3565000;4991000
1158199;Televisor Coby 65  Smart 4K;Televisor Coby 65  Cy3359-654Ks Smar 4K+Teclado+Ultra Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;"Modelo: Cy3359-654Ks 
Teclado
Resolucion De La Pantalla: 4K Ultra Hd 3840X2160P
Pantalla: Led De 65 
Conectividad: Wifi
Interfaz: Hdmi  Usb  Vga Y Lan
Sistema Operativo: Android";Televisor Coby 65  Cy3359-654Ks Smar 4K+Teclado+Ultra Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;27;97;9;9001;5084000;7118000
1155518;Televisor Hyundai 24  Led ;Televisor Hyundai 24 Hy24Dtha Led Hd Hdmi / Vga / Usb Con Conversor Digital;"Modelo: Hy24Dta
Resolucion: Hd 1366 X 768
Pantalla: Led De 24 
Dolby Audio Y Auto Parlante Integrado
Interfaz:Hdmi - Entrada Para Antena - Usb - Mini Jack 3 5 Mm - Coaxial - Audio Input - Pc Audio In - Vga - Ypbpr";Televisor Hyundai 24 Hy24Dtha Led Hd Hdmi / Vga / Usb Con Conversor Digital;26;75;9;9001;807000;1129000
1093933;Televisor Hyundai 32 Led;Televisor Hyundai 32 Hy32Dthc Led Hd Hdmi / Vga / Usb Con Conversor Digital;"Modelo: Hy32Dthc
Resolucion: 1366 X 768P
Pantalla: Led De 32 
Interfaz: Hdmi  Vga  Rf  Usb  Mini Jack 3 5 Mm  Ypbpr";Televisor Hyundai 32 Hy32Dthc Led Hd Hdmi / Vga / Usb Con Conversor Digital;24;75;9;9001;1155000;1616000
956703;Televisor Hyundai 40  Smart ;Televisor Hyundai 40 Hy40Ntfb Led Smart Linux/Full Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;"Modelo: Hy40Ntfb 
Conversor Digital
Resolucion De La Pantalla Full Hd 1920 X 1080P
Pantalla Led De 40 
Sistema Operativo Basado En Linux  
Conectividad Inalambrica Wifi
Interfaz: 3 Hdmi - 2 Usb - A V - Rf - Lan - Mini Jack 3 5 Mm";Televisor Hyundai 40 Hy40Ntfb Led Smart Linux/Full Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;28;94;9;9001;2122000;2971000
957618;Televisor Hyundai 50  Smart;Televisor Hyundai 50 Hy50Atfa Led Smart Android+Conversor Digital;"Modelo: Hy50Atfa
Conversor Digital
Pantalla Led De 50  Smart
Sistema Operativo Basado En Android 7 0
Conectividad Inalambrica Wifi
Interfaz: Hdmi  Usb 2 0  Vga  Rf In Y Audio Integrado";Televisor Hyundai 50 Hy50Atfa Led Smart Android+Conversor Digital;27;65;9;9001;2793000;3910000
956741;Televisor Hyundai 55  Smart 4K;Televisor Hyundai 55 Hy55Ntub Led Smart Linux+4K Ultra Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;"Modelo: Hy55Ntub 
Conversor Digital
Resolucion De La Pantalla 4K Ultra Hd
Pantalla Led De 55 
Sistema Operativo Basado En Linux  
Conectividad Inalambrica Wifi
Interfaz: Lan  Hdmi  Jack 3 5Mm  Av  Usb Y Antena Rf";Televisor Hyundai 55 Hy55Ntub Led Smart Linux+4K Ultra Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;30;98;9;9001;3777000;5288000
1084245;Televisor Lg 32  Smart;Televisor Lg 32  32Lm630Bpsb Smart Bluetooth Hdmi / Usb Con Convertidor Digital;"Modelo: Lm630Bpsb 
Hdmi / Usb Con Convertidor Digital 
Pantalla: Led De 32 
Resolucion Maxima: Hd 1366 X 768P 
Formatos Hdr: Hdr 10 Pro  Hlg
Sistema Operativo: Webos Smart Tv
Sonido: Virtual Surround Plus
Conectividad: Wifi  Bluetooth";Televisor Lg 32  32Lm630Bpsb Smart Bluetooth Hdmi / Usb Con Convertidor Digital;22;79;9;9001;1723000;2413000
1112917;Televisor Lg 43  Smart 4K;Televisor Lg 43  43Um7100Psa Smart 4K-Ultra Hd Bluetooth Hdmi / Usb Con Conversor Digital;"Modelo: 43Um7100Psa 
Conversor Digital 
Pantalla: Led Ips De 43 
Resolucion Maxima: Smart 4K Ultra Hd 3840 X 2160P
Frecuencia De Refresco: 60 Hz
Sistema Operativo: Webos Ai Thinq
Sonido: Ultra Surround
Conectividad: Wifi  Bluetooth";Televisor Lg 43  43Um7100Psa Smart 4K-Ultra Hd Bluetooth Hdmi / Usb Con Conversor Digital;25;89;9;9001;2801000;3921000
1112924;Televisor Lg 49  Smart 4K;Televisor Lg 49  49Um7100Psa Smart 4K-Ultra Hd Bluetooth Hdmi / Usb Con Conversor Digital;"Modelo: 49Um7100Psa
Pantalla: Led Ips De 49 
Resolucion Maxima: Smart 4K Ultra Hd 3840 X 2160
Frecuencia De Refresco: 60 Hz
Sistema Operativo: Webos Ai Thinq
Sonido: Ultra Surround
Conectividad: Wifi  Bluetooth";Televisor Lg 49  49Um7100Psa Smart 4K-Ultra Hd Bluetooth Hdmi / Usb Con Conversor Digital;25;89;9;9001;3523000;4931000
1094398;Televisor Lg 55  Smart 4K;Televisor Lg 55  55Um7100Psa Smart Ultra Hd Wi-Fi / Bluetooth Con Conversor Digital;"Modelo: 55Um7100Psa 
Pantalla: Led De 55 
Resolucion Maxima: 4K Ultra Hd 3840 X 2160P
Formatos Hdr: Hdr 10 Pro  Hlg
Sistema Operativo: Webos Smart Tv
Sonido: Dts Virtual
Conectividad: Wi-Fi  Bluetooth 5 0";Televisor Lg 55  55Um7100Psa Smart Ultra Hd Wi-Fi / Bluetooth Con Conversor Digital;25;83;9;9001;4923000;6892000
1172881;Televisor Lg 60  Smart;Tv Lg 60  60Un7310Psa Smart Tv Bt 4K+Co;"Modelo: 60Un7310Psa
Pantalla: Led De 60  Con Tecnologia Trumotion
Resolucion Maxima: 4K Ultra Hd, 3840 X 2160
Sistema Operativo: Webos Ai Thinq
Sonido: Ultra Surround Al Sound
Procesador: Quad Core 4K
Conectividad: Wi-Fi Ieee 802.11 A/B/G/N/Ac - Bluetooth
Caracteristicas: Posee Hdr Active E Filmmaker Mode - Soporta Uso De Las Asistentes Virtuales Google Assistant Y Amazon Alexa, Y Servicios De Streaming Como Youtube, Netflix Y Amazon Prime Video - Conversor De Tv Digital Integrado - Compatible Con Sistemas De Tv Pal-M/N E Ntsc - Vhf, Uhf, Dtv E Catv - Permite Compartir Contenido A Traves De Airplay";Tv Lg 60  60Un7310Psa Smart Tv Bt 4K+Co;22;39;9;9001;6323000;8852000
552974;Televisor Prosper 5 5  ;Televisor Prosper 5 5  Ptv5 Radio Am/Fm Portatil;"Marca  Prosperar
Modelo  P-Tv5
Color  Negro
Pantalla  5 5  Monocromo
Alto Parlante  Integrado
Voltaje  110 ? 220 V ~ 50/60 Hz
Potencia  12 Vatios
Caracteristicas  Integra Antena Retractil ? Controles De Volumen Y Sintonizacion Integrados ? Compatible Con El Sistema De Tv Pal-M ? Vhf-L  Vhf-H Y Uhf
Radio  Am Y Fm
Interfaz  Entrada De Antena ? Av ? Miniconector De 3 5 Mm
Comida  Solicita 10 Baterias Um-2  A Traves De La Entrada Ac / Dc O El Cargador Para Auto
Peso Bruto  G   2078
Dimensiones De Embalaje  Cm   22 2 X 20 5 X 20 3
Incluye  Cable De Alimentacion ? Cargador Para Auto ? Adaptador Para Antena Externa ? Manual";Televisor Prosper 5 5  Ptv5 Radio Am/Fm Portatil;23;48;9;9001;94000;131000
1135541;Televisor Samsung 32 Smart;Televisor Samsung 32 Un32T4300Ag Smart Hd Wi-Fi Hdmi / Usb Con Conversor Digital;"Televisor Samsung 32 Un32T4300Ag 
Resolucion De La Pantalla: Hd  1366 X 768P 
Pantalla: Led De 32 Smart
Audio: Dolby Digital Plus
Motor De Imagen: Hiperreal
Interfaz: 1 Xlan  2 X Hdmi Y 1 X Usb
Conectividad: Wi-Fi
Sistema Operativo: Tizen ";Televisor Samsung 32 Un32T4300Ag Smart Hd Wi-Fi Hdmi / Usb Con Conversor Digital;26;80;9;9001;1800000;2519000
1150520;Televisor Samsung 43  Smart ;Televisor Samsung 43 Un43T5202Ag Smart Full Hd Hdmi / Usb Con Conversor Digital;"Modelo: Series Un43T5202Ag 
Sistema Operativo: Tizen
Resolucion Maxima:Full Hd 1920 X 1080
Pantalla: Led De 43 
Sonido: Dolby Audio
Conectividad: Wifi
Convertidor Digital ";Televisor Samsung 43 Un43T5202Ag Smart Full Hd Hdmi / Usb Con Conversor Digital;28;79;9;9001;2631000;3684000
1068610;Televisor Samsung 49  Curvo 4K;Televisor Samsung 49 Un49Nu7300G Curved Smart 4K Ultra Hd Hdmi / Usb / Isdb-T;"Modelo: Un49Nu7300G
Resolucion Maxima: 4K Ultra Hd 3840 X 2160P
Pantalla: Led De 49  - Curved 4200R
Sonido: Dolby Audio Plus
Conectividad: Wireless Y Lan  Puerto Ethernet 
Convertidor Digital
3 Hdmi - 2 Usb - Digital Audio Out - Entrada De Antena - Lan  Puerto Ethernet  - A V - Ypbpr ";Televisor Samsung 49 Un49Nu7300G Curved Smart 4K Ultra Hd Hdmi / Usb / Isdb-T;30;77;9;9001;4329000;6060000
1175691;Televisor Samsung 50  Smart;Tv Samsung 50 Un50Tu7090G Uhd Smar 4K+C;"Modelo: Un50Tu7090 Resolucion Maxima: 4K Uhd 
Resolucion: 3,840 X 2,160
Motor De Imagenes: Crystal Processor 4K
Sonido: 20 Watts  Rms  De 2 Canales
Transmision Digital: Isdb-T
Conectividad: 3X Hdmi  2X Usb";Tv Samsung 50 Un50Tu7090G Uhd Smar 4K+C;27;39;9;9001;3820000;5347000
1161571;Televisor Samsung 55 Qled;Televisor Samsung 55 Qn55Q60Tag Qled+Cx Wi-Fi / Bluetooth + Soundbar R450 De 200 Watts Rms;"Modelo: Qn55Q60Tag 
Pantalla: Qled De 55   16:9
Resolucion Maxima: 4K Ultra Hd 3840 X 2160
Sistema Operativo Tizen 
Procesador Quantum Lite
Dolby Digital Plus
3 Hdmi - 2 Usb - Lan  Puerto Ethernet  - Digital Audio Out - A V - Entrada De Antena";Televisor Samsung 55 Qn55Q60Tag Qled+Cx Wi-Fi / Bluetooth + Soundbar R450 De 200 Watts Rms;25;90;9;9001;7342000;10278000
1162714;Televisor Samsung 58  Smart 4K;Televisor Samsung 58 Un58Tu8000P Uhd Smar 4K Ultra Hd Hdmi / Usb Con Conversor Digital;"Modelo: Un58Tu8000P 
Resolucion De La Pantalla: 4K Uhd  3840 X 2160P 
Pantalla: Led De 58 
Procesador: Crystal 4K
Interfaz: 1 X Lan  3 X Hdmi Y 2 X Usb
Transmision Digital: Dvb-T2
Conectividad: Wi-Fi Y Bluetooth 4 2
Sistema Operativo: Tizen ";Televisor Samsung 58 Un58Tu8000P Uhd Smar 4K Ultra Hd Hdmi / Usb Con Conversor Digital;30;86;9;9001;5262000;7367000
1162707;Tv Samsung 65 Un65Tu7000P ;Tv Samsung 65 Un65Tu7000P Uhd Smar 4K+C;"Modelo: 7 Series Un65Tu7000P
Resolucion De La Pantalla: 4K Ultra Hd 3840 X 2160
Pantalla: Led De 65 , Crystal Display
Caracteristica: Procesador De Imagen Crystal 4K - Posee Tecnologias Hdr, Hdr 10+, Hlg, Purcolor Y Uhd Dimming, Para Visualizacion Mas Rica Del Contenido Exhibido, Independiente De Cual Sea El Seguimiento, Categoria, O Tipo De Fotografia De La Grabacion - Soporta Compartir Contenido A Traves De Airplay - Conversor De Tv Digital Isdb-T Integrado
Sistema Operativo: Tizen ";Tv Samsung 65 Un65Tu7000P Uhd Smar 4K+C;26;39;9;9001;6493000;9090000
691093;Tv Sony 32  32W605D Smart+Conv;Tv Sony 32  32W605D (Riscado)Smart+Conv;"Modelo: Bravia Kdl-32W605D
Resolucion De La Pantalla: Full Hd
Pantalla: Lcd De 32  Con Tecnologia X Reality Pro
Conectividad: Wi-Fi
Caracteristica: Compatible Con Aplicacion Photo Sharing Plus - Posee Tecnologia Motionflow Que Proporciona Imagenes Con Calidad Cinematografica Y Proteccion X-Protection Pro
Sistema Operativo: Linux ";Tv Sony 32  32W605D (Riscado)Smart+Conv;30;39;9;9001;1885000;2638000
1163056;Tv Mtek 24  Mk24F1D Led ;Tv Mtek 24  Mk24F1D Led F.Hd Monit+Conv;"Modelo: Mk24F1D
Resolucion De La Pantalla: Full Hd 1920 X 1080
Pantalla: Led De 24 
Caracteristica: Conversor De Tv Digital Integrado, Hdmi - Usb - Vga - Ypbpr - Coaxial - Audio L/R - Pc Audio - Rf - Mini Jack 3.5 Mm
";Tv Mtek 24  Mk24F1D Led F.Hd Monit+Conv;24;39;9;9001;807000;1129000
897730;Tv Mtek 50  Mk50Fu7 ;Tv Mtek 50  Mk50Fu7 Led 4K Smar And+Con;"Modelo: Mk50Fu7
Resolucion De La Pantalla: 4K Ultra Hd 3840 X 2160
Pantalla: Led De 50 
Conectividad: Wi-Fi
Caracteristica: Conversor De Tv Digital Integrado - Soporta Servicios De Streaming, Como Youtube Por Ejemplo. 3 Hdmi - 1 Usb 2.0 - 1 Usb 3.0 - Pc Audio - Vga - A.V - Rf - Coaxial - Ypbpr - Lan - Slot Para Tarjeta Micro Sd
Sistema Operativo: Android
";Tv Mtek 50  Mk50Fu7 Led 4K Smar And+Con;20;39;9;9001;2801000;3921000
878210;Tv Mtek 65  Mk65Fu7 Led 4K Smar And+Con;Tv Mtek 65  Mk65Fu7 Led 4K Smar And+Con;"Modelo: Mk65Fu7
Resolucion De La Pantalla: 4K Ultra Hd 3840 X 2160
Pantalla: Led De 65 
Conectividad: Wi-Fi
Caracteristica: Conversor De Tv Digital Integrado - Soporta Servicios De Streaming, Como Youtube Por Ejemplo. 3 Hdmi - 1 Usb 2.0 - 1 Usb 3.0 - Pc Audio - Vga - A.V - Rf - Coaxial - Ypbpr - Lan - Slot Para Tarjeta Micro Sd
Sistema Operativo: Android
";Tv Mtek 65  Mk65Fu7 Led 4K Smar And+Con;39;39;9;9001;4796000;6714000
